Clave,Entidad,Pob_total,Analfab,No_escuela,Educ_bas_incomp,Sin_salud,Piso_tierra,Sin_sanitario,Sin_agua,Sin_drenaje,Sin_luz,Sin_lavadora,Sin_refri,irs,nivel
01,Aguascalientes,1425607,2.108761,5.011983,23.479359,18.384309,0.751015,0.622521,0.553611,0.616304,0.313463,13.030975999999999,5.394146999999999,-1.101561,Muy bajo
02,Baja California,3769020,1.8211979999999999,6.5137599999999996,24.620451,22.189242999999998,1.972994,0.6592089999999999,2.081973,3.473451,0.781909,17.269288,5.071003,-0.6423869999999999,Bajo
03,Baja California Sur,798447,2.330508,4.231974999999999,23.854995,16.190179,4.693388,1.2504279999999999,5.002130999999999,2.5777289999999997,1.180658,31.469179999999998,8.168935,-0.317027,Bajo
04,Campeche,928363,5.854886,6.399813,29.683535,21.899192,2.747664,3.616541,3.9746979999999996,5.10297,1.351159,22.6788,15.982952999999998,0.244535,Medio
05,Coahuila de Zaragoza,3146771,1.666687,4.976954999999999,21.263403,18.983681999999998,0.807531,0.708561,0.9762569999999999,1.247952,0.26614099999999996,13.358252,3.257449,-1.147587,Muy bajo
06,Colima,731391,3.367777,5.966263,27.654995999999997,16.827388,2.5418979999999998,0.752942,0.721588,0.458831,0.49504299999999996,24.758771,6.557442,-0.690655,Bajo
07,Chiapas,5543828,13.687469,10.523719999999999,48.053342,32.735178999999995,11.088230999999999,3.22371,9.911394,8.495332,1.7782,56.22025,35.418903,2.644224,Muy alto
08,Chihuahua,3741869,2.6226879999999997,6.865735,27.127121,15.342813999999999,1.902749,1.535734,1.5226359999999999,3.2427949999999996,1.492335,14.05476,5.548361,-0.518357,Bajo
09,Ciudad de México,9209944,1.423562,5.242769,17.528494,27.174856,0.58859,0.30405099999999996,1.05386,0.152861,0.069654,17.17707,6.251723999999999,-1.115345,Muy bajo
10,Durango,1832650,2.719656,5.383499,27.409163,25.176329,3.579091,3.0792349999999997,1.9621119999999999,5.048444,1.8090119999999998,22.676226999999997,8.896018,-0.045956,Medio
11,Guanajuato,6166934,5.2849699999999995,7.006113999999999,33.445308,20.67786,2.340624,2.559574,2.710505,3.086948,0.475255,19.399003,7.573410999999999,-0.20921199999999998,Bajo
12,Guerrero,3540685,12.456393,6.275503,42.469836,25.191764,14.043994,9.453408,11.063002,11.813222999999999,1.582253,54.192761999999995,19.345758,2.450336,Muy alto
13,Hidalgo,3082841,6.612616,3.752544,29.810502999999997,30.119944999999998,2.851267,2.737343,3.892712,5.001344,0.891532,39.928723999999995,17.243144,0.32012599999999997,Alto
14,Jalisco,8348151,2.8905339999999997,6.971489999999999,29.400571,29.377989999999997,1.5367769999999998,1.281256,0.703456,0.737393,0.331988,16.940245,5.17288,-0.616826,Bajo
15,México,16992418,2.895743,5.671544,24.859392999999997,33.382971,2.033638,1.4854049999999999,2.5959019999999997,2.46079,0.323696,27.464313999999998,14.211069,-0.298102,Bajo
16,Michoacán de Ocampo,4748846,7.030449,7.9841,42.266301,37.580267,5.214326,1.7584609999999998,2.71115,4.194808,0.597565,25.747073,11.127279,0.529919,Alto
17,Morelos,1971520,4.438219999999999,5.858555,27.449949,28.007323999999997,3.8511759999999997,1.160075,4.045058,1.8053949999999999,0.428187,33.853750999999995,9.809659,-0.126541,Bajo
18,Nayarit,1235456,4.479029,5.365438999999999,28.937137999999997,22.100261,3.132368,3.337601,2.593598,3.7302929999999996,1.707125,26.494463999999997,10.420491,0.044037,Medio
19,Nuevo León,5784442,1.4591109999999998,4.867864,18.839042,18.543948999999998,0.8426429999999999,0.531859,0.731351,0.884416,0.172228,12.935868,3.56783,-1.254735,Muy bajo
20,Oaxaca,4132148,11.812375,5.814697,45.229898999999996,29.427552,13.296833999999999,2.7968189999999997,9.809724,19.389471,2.250041,52.658207999999995,29.594793,2.590888,Muy alto
21,Puebla,6583278,6.966557,6.262601999999999,36.779731,29.194346999999997,5.098019,1.684118,4.449021999999999,4.822750999999999,0.7644719999999999,41.358543999999995,25.403796,0.744487,Alto
22,Querétaro,2368467,3.471752,5.552356,23.526752,20.539319,1.9285619999999999,2.231889,2.054686,2.548098,0.55213,24.740861,8.469044,-0.5244909999999999,Bajo
23,Quintana Roo,1857985,3.060679,6.760623,22.427681999999997,25.219794999999998,2.230006,2.423867,1.608363,1.8915769999999998,0.929242,25.288439,12.831548999999999,-0.317166,Bajo
24,San Luis Potosí,2822255,5.004788,4.703316,29.165017,17.372066,4.891230999999999,2.042086,7.40951,9.074959,1.440605,25.278211,12.178427,0.31912599999999997,Alto
25,Sinaloa,3026943,3.551563,4.866079,28.737288999999997,18.999862,2.28457,1.931403,1.523047,2.9945359999999996,0.554591,22.917294,4.984293,-0.567552,Bajo
26,Sonora,2944840,1.9895699999999998,4.635632,22.257635,18.59955,2.439094,1.097512,1.41478,4.674606,0.9703309999999999,23.880042,5.797509,-0.650546,Bajo
27,Tabasco,2402598,5.083036,4.9189099999999994,29.122373,31.444460999999997,3.4406109999999996,2.3107439999999997,6.165425,2.419348,0.6692739999999999,24.652722999999998,13.46655,0.076399,Medio
28,Tamaulipas,3527735,2.5729059999999997,5.85367,25.609837,20.235619,1.500192,0.590425,1.745788,5.083129,0.635309,20.203674,5.7796259999999995,-0.622628,Bajo
29,Tlaxcala,1342977,3.34789,4.902318999999999,26.864832,26.556002,1.833678,2.971955,0.977258,1.899376,0.545235,41.879843,24.249019,-0.040526,Medio
30,Veracruz de Ignacio de la Llave,8062579,8.490988999999999,6.627816999999999,39.774288,27.639791,5.735212,1.883103,8.478764,8.915445,1.3431629999999999,37.037897,18.272309,1.143246,Muy alto
31,Yucatán,2320898,5.986056,4.212394,31.388005,21.763472999999998,1.4081139999999999,6.476411,1.1873829999999999,7.617516999999999,0.907434,25.12791,15.859169999999999,0.152467,Medio
32,Zacatecas,1622138,3.75195,5.293621,32.19748,20.111606,1.329073,2.908903,1.856361,3.60419,0.578163,15.779976999999999,7.649972999999999,-0.452588,Bajo
